Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000bvfb,9,"Sunday, August 12, 2012 23:38:51 UTC",48.1520,147.9556,4.4,431.30,348,"Sea of Okhotsk"
us,b000bveu,4,"Sunday, August 12, 2012 22:55:38 UTC",1.4919,127.2967,4.4,73.80,18,"Halmahera, Indonesia"
ak,10533762,2,"Sunday, August 12, 2012 22:20:19 UTC",51.9309,-177.4021,2.8,258.50,12,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000bvdg,7,"Sunday, August 12, 2012 21:46:41 UTC",2.4762,91.4086,4.3,14.90,28,"off the west coast of northern Sumatra"
ak,10533586,1,"Sunday, August 12, 2012 21:11:50 UTC",59.4494,-154.8676,2.7,195.90,26,"Southern Alaska"
us,b000bvc8,4,"Sunday, August 12, 2012 19:43:44 UTC",0.1406,120.5767,4.7,107.10,21,"Minahasa, Sulawesi, Indonesia"
us,2012eeat,4,"Sunday, August 12, 2012 16:17:42 UTC",-18.0819,-176.3300,4.4,333.80,23,"Fiji region"
ak,10533493,1,"Sunday, August 12, 2012 16:05:07 UTC",60.7397,-151.6193,2.7,82.80,39,"Kenai Peninsula, Alaska"
ak,10533481,1,"Sunday, August 12, 2012 15:52:25 UTC",59.8676,-153.1418,2.6,138.60,27,"Southern Alaska"
pr,12225005,0,"Sunday, August 12, 2012 15:09:11 UTC",18.5949,-68.5895,3.3,97.00,10,"Dominican Republic"
ak,10533448,1,"Sunday, August 12, 2012 14:28:44 UTC",62.7868,-148.8431,3.3,55.60,79,"Central Alaska"
us,2012eeas,5,"Sunday, August 12, 2012 13:38:09 UTC",36.0886,82.4772,4.3,10.00,23,"southern Xinjiang, China"
us,b000bv9c,6,"Sunday, August 12, 2012 11:59:15 UTC",47.8704,152.9644,4.2,142.20,65,"Kuril Islands"
us,b000bv81,9,"Sunday, August 12, 2012 10:47:06 UTC",35.6805,82.5160,6.3,11.00,409,"Xinjiang-Xizang border region"
us,b000bv7e,5,"Sunday, August 12, 2012 09:27:24 UTC",55.2929,161.8356,4.0,53.60,48,"near the east coast of the Kamchatka Peninsula, Russia"
ak,10533380,1,"Sunday, August 12, 2012 09:16:36 UTC",59.5207,-153.3741,2.9,92.70,29,"Southern Alaska"
ak,10533355,2,"Sunday, August 12, 2012 07:33:13 UTC",56.3952,-152.8270,3.3,5.00,37,"Kodiak Island region, Alaska"
